names,Frequency,count
AMD Opteron 4280,,6430
Intel Xeon E5645 , 2.40GHz,6424
Intel Core i3 7320 , 4.10GHz,6417
AMD FX 6300 Six Core,,6408
Intel Core i5 3470S , 2.90GHz,6397
AMD Opteron 3380,,6384
Intel Xeon E3 1505L v5 , 2.00GHz,6374
Intel Core i5 2500 , 3.30GHz,6353
Intel Core i5 4430 , 3.00GHz,6339
Intel Core i5 7400T , 2.40GHz,6333
Intel Core i3 7300 , 4.00GHz,6328
Intel Core i5 6500T , 2.50GHz,6306
Intel Core i5 4440S , 2.80GHz,6259
Intel Xeon E3 1220 , 3.10GHz,6253
Intel Xeon E3 1260L , 2.40GHz,6240
Intel Core i5 3450S , 2.80GHz,6233
Intel Xeon L5640 , 2.27GHz,6232
Intel Core i5 6440EQ , 2.70GHz,6223
Intel Xeon E5 1607 v2 , 3.00GHz,6217
AMD FX 6130 Six Core,,6215
Intel Xeon E5 1603 v3 , 2.80GHz,6208
Intel Xeon X5667 , 3.07GHz,6198
Intel Xeon W3580 , 3.33GHz,6183
AMD Opteron 6174,,6171
Intel Core i5 3350P , 3.10GHz,6155
Intel Core i5 4670T , 2.30GHz,6155
Intel Core i5 2450P , 3.20GHz,6149
AMD Ryzen 3 3300U,,6143
AMD FX 8140 Eight Core,,6133
AMD PRO A12 9800,,6132
Intel Core i3 8109U , 3.00GHz,6118
Intel Core i7 975 , 3.33GHz,6114
AMD FX 6200 Six Core,,6107
AMD Ryzen 3 2300U,,6104
Intel Core i7 2720QM , 2.20GHz,6102
Intel Core i5 3340 , 3.10GHz,6102
Intel Xeon E3 1225 , 3.10GHz,6101
AMD Opteron 4334,,6099
Intel Core i5 6300HQ , 2.30GHz,6097
Intel Xeon W5590 , 3.33GHz,6088
AMD Opteron 3365,,6088
AMD PRO A12 8870,,6067
Intel Xeon W3570 , 3.20GHz,6047
Intel Core i3 6320 , 3.90GHz,6046
Intel Core i3 10110U , 2.10GHz,6026
Intel Core i7 7660U , 2.50GHz,5989
Intel Core i5 2400 , 3.10GHz,5973
Intel Core i5 4430S , 2.70GHz,5963
Intel Xeon E3 1265L , 2.40GHz,5961
Intel Core i5 3330 , 3.00GHz,5953
AMD Opteron 6234,,5938
Intel Core i3 1005G1 , 1.20GHz,5929
Intel Core i5 3570T , 2.30GHz,5914
Intel Xeon E5 2609 v3 , 1.90GHz,5901
Intel Core i5 7442EQ , 2.10GHz,5901
AMD FX 8100 Eight Core,,5884
Intel Core i7 2670QM , 2.20GHz,5878
Intel Xeon E5 1607 , 3.00GHz,5877
Intel Core i5 7360U , 2.30GHz,5855
AMD PRO A10 8850B,,5852
Intel Core i7 965 , 3.20GHz,5850
Intel Core i5 3340S , 2.80GHz,5846
Intel Core i3 6300 , 3.80GHz,5843
Intel Xeon W5580 , 3.20GHz,5836
Intel Xeon X5647 , 2.93GHz,5797
Intel Core i7 960 , 3.20GHz,5794
Intel Core i5 3335S , 2.70GHz,5788
Intel Core i3 7100 , 3.90GHz,5779
Intel Xeon W3565 , 3.20GHz,5776
AMD Opteron 6212,,5776
Intel Core i5 2320 , 3.00GHz,5775
Intel Core i7 7560U , 2.40GHz,5770
Intel Core i7 2710QE , 2.10GHz,5768
Intel Core i5 2380P , 3.10GHz,5762
ZHAOXIN KaiXian KX U6780A,2.7GHz,5760
Intel Xeon D 1520 , 2.20GHz,5755
AMD FX 6120 Six Core,,5753
Intel Pentium Gold G5600F , 3.90GHz,5736
AMD Phenom II X6 1100T,,5707
AMD PRO A10 8770,,5707
AMD A10 7890K,,5706
Intel Core i5 3330S , 2.70GHz,5678
Intel Xeon X3480 , 3.07GHz,5658
Intel Core i5 7287U , 3.30GHz,5656
Intel Core i5 7260U , 2.20GHz,5637
Intel Xeon Bronze 3104 , 1.70GHz,5632
Intel Core i5 4590T , 2.00GHz,5629
Intel Xeon L5638 , 2.00GHz,5622
Intel Core i3 4370 , 3.80GHz,5617
Intel Core i5 6400T , 2.20GHz,5617
Intel Xeon X5570 , 2.93GHz,5615
AMD Opteron 4332 HE,,5614
AMD A10 8850,,5604
AMD PRO A10 9700,,5599
AMD A12 9800,,5584
Intel Core i7 6567U , 3.30GHz,5582
AMD Athlon X4 880K,,5580
Intel Xeon E5 1603 , 2.80GHz,5578
Intel Pentium Gold G5600 , 3.90GHz,5570
Intel Xeon W3550 , 3.07GHz,5566
AMD Athlon PRO 300GE,,5560
AMD Phenom II X6 1090T,,5559
Intel Core i7 2675QM , 2.20GHz,5546
Intel Core i7 950 , 3.07GHz,5539
Intel Core i5 2310 , 2.90GHz,5536
Intel Core i7 2630QM , 2.00GHz,5522
Intel Core i3 8145U , 2.10GHz,5507
Intel Core i7 880 , 3.07GHz,5505
Intel Xeon E5 2603 v4 , 1.70GHz,5504
Intel Core i3 6100 , 3.70GHz,5483
AMD Athlon 240GE,,5478
Intel Core i7 2635QM , 2.00GHz,5478
AMD A10 7870K,,5476
AMD PRO A10 8750B,,5473
AMD A10 7850K APU,,5469
Intel Pentium Gold G5420 , 3.80GHz,5468
AMD A8 8650,,5465
AMD Opteron 6176 SE,,5465
