Gpu,Rating,Performance
AMD FirePro 2270,829,0.08
AMD FirePro M2000,650,0.32
AMD FirePro M4000,406,2.5
AMD FirePro M4100,508,0.93
AMD FirePro M4150,490,1.14
AMD FirePro M5100,355,3.53
AMD FirePro M5950,467,1.34
AMD FirePro M6000,367,3.26
AMD FirePro M6100,282,5.76
AMD FirePro S10000,171,19.66
AMD FirePro S7000,217,9.76
AMD FirePro S7150,137,24.95
AMD FirePro S9000,175,18.44
AMD FirePro V3900,695,0.26
AMD FirePro V4900,469,1.34
AMD FirePro V5900,424,1.73
AMD FirePro V7900,298,5.14
AMD FirePro W2100,552,0.65
AMD FirePro W4100,409,2.46
AMD FirePro W4170M,447,1.5
AMD FirePro W4190M,463,1.34
AMD FirePro W4300,290,5.41
AMD FirePro W5000,277,6
AMD FirePro W5100,280,5.86
AMD FirePro W5130M,401,2.65
AMD FIREPRO W6150M,,1.3
AMD FirePro W5170M,348,3.67
AMD FirePro W600,423,1.93
AMD FirePro W7000,208,10.08
AMD FirePro W7100,154,21.41
AMD FirePro W7170M,186,12.75
AMD FirePro W8000,194,12.15
AMD FirePro W8100,140,24.19
AMD FirePro W9000,167,19.92
AMD FirePro W9100,122,29.21
AMD FireStream 9250,495,1.01
AMD FireStream 9270,442,1.53
AMD RADEON R5 520,,0.32
AMD Radeon 520,644,0.32
AMD R17M-M1-70,,1.16
AMD Radeon 530,486,1.16
AMD Radeon 540,412,2.42
AMD Radeon 540X,383,2.97
AMD Radeon 550X,408,2.48
AMD Radeon E6760,542,0.69
AMD Radeon E8860,411,2.43
AMD Radeon HD 6230,831,0.08
AMD Radeon HD 6320,848,0.08
AMD Radeon HD 6350,836,0.08
AMD Radeon HD 6370M,805,0.1
AMD Radeon HD 6380G,792,0.11
AMD Radeon HD 6430M,856,0.07
AMD Radeon HD 6450,804,0.1
AMD Radeon HD 6450 GDDR5,863,0.07
AMD Radeon HD 6450A,815,0.1
AMD Radeon HD 6450M,875,0.07
AMD Radeon HD 6470M,788,0.12
AMD Radeon HD 6480G,916,0.04
AMD Radeon HD 6480G ,745,0.13
AMD Radeon HD 6490M,924,0.03
